id,query,reference_answer,category,difficulty
q272,What is a pulse oximeter?,A medical device that clips to a finger and measures the oxygen saturation level in your blood.,diagnosis,medium
q273,What is a blood pressure reading?,"A measurement of the pressure in your arteries, given as two numbers (systolic over diastolic).",diagnosis,high
q274,What is systolic pressure?,The top number in a blood pressure reading; the pressure in your arteries when your heart beats.,diagnosis,easy
q275,What is diastolic pressure?,The bottom number in a blood pressure reading; the pressure in your arteries when your heart rests between beats.,diagnosis,medium
q276,What is an 'allergy test'?,A test (either a skin prick or blood test) to determine what substances (allergens) trigger an allergic reaction.,diagnosis,high
q277,What is genetic testing?,"A type of medical test that identifies changes in chromosomes, genes, or proteins to confirm or rule out a genetic condition.",diagnosis,easy
q278,What is a 'scope' procedure (endoscopy)?,A procedure where a doctor uses a flexible tube with a camera (endoscope) to look inside the body.,medical_procedure,medium
q279,What is a bronchoscopy?,A procedure that lets doctors look at your lungs and air passages using a thin tube (bronchoscope).,medical_procedure,high
q280,What is a 'fecal occult blood test'?,A lab test used to check stool samples for hidden (occult) blood.,lab_test,easy
q281,What is surgery?,The treatment of injuries or disorders of the body by incision or manipulation.,medical_procedure,medium
q282,What is anesthesia?,Medication used during surgery or procedures to prevent pain.,medical_procedure,high
q283,What is general anesthesia?,A state of controlled unconsciousness (sleep) during which you feel no pain.,medical_procedure,easy
q284,What is local anesthesia?,"A medication that numbs a small, specific area of the body for a short time.",medical_procedure,medium
q285,What is an epidural?,An injection in your back (epidural space) to numb the nerves and block pain from the waist down.,medical_procedure,high
q286,What is a blood transfusion?,A routine medical procedure in which donated blood is provided to you through a narrow tube (IV) in your arm.,medical_procedure,easy
q287,What is intubation?,The process of inserting a tube (endotracheal tube) through the mouth and into the airway (trachea).,medical_procedure,medium
q288,What is a C-section (Cesarean section)?,A surgical procedure used to deliver a baby through incisions in the abdomen and uterus.,medical_procedure,high
q289,What is an appendectomy?,Surgical removal of the appendix.,medical_procedure,easy
q290,What is a cholecystectomy?,Surgical removal of the gallbladder.,medical_procedure,medium
q291,What is a hysterectomy?,Surgical removal of the uterus.,medical_procedure,high
q292,What is a mastectomy?,"Surgical removal of all or part of a breast, usually to treat or prevent breast cancer.",medical_procedure,easy
q293,What is a lumpectomy?,Surgical removal of a cancerous lump and a small margin of surrounding healthy tissue from the breast.,medical_procedure,medium
q294,What is a tonsillectomy?,Surgical removal of the tonsils.,medical_procedure,high
q295,What is cataract surgery?,A procedure to remove the natural lens of the eye when it has become cloudy (a cataract) and replace it with an artificial lens.,medical_procedure,easy
q296,What is a tracheotomy?,A surgical procedure that creates an opening in the front of the neck into the windpipe (trachea).,medical_procedure,medium
q297,What is plastic surgery?,"A surgical specialty involving the restoration, reconstruction, or alteration of the human body.",medical_procedure,high
q298,What is bariatric surgery?,Weight-loss surgery; procedures performed on people who have obesity.,medical_procedure,easy
q299,What is an organ transplant?,A surgical procedure to replace a failing or damaged organ with a healthy one from a donor.,medical_procedure,medium
q300,What is cryotherapy?,"The use of extreme cold in surgery or other medical treatment (e.g., freezing a wart).",medical_procedure,high
q301,What is the Heimlich maneuver?,An emergency technique for dislodging an object from the throat of a choking person.,first_aid,easy
q302,How to treat a nosebleed?,"Sit upright, lean forward, and pinch your nostrils shut for 10-15 minutes.",first_aid,medium
q303,How to treat a minor burn?,Run cool (not cold) water over the area for 10-20 minutes and cover loosely.,first_aid,high
q304,How to treat a severe burn?,"Call 911. Do not remove stuck clothing. Cover the area with a cool, moist, sterile bandage.",first_aid,easy
q305,How to treat an insect sting?,"Remove the stinger if present, wash the area, and apply a cold pack to reduce swelling.",first_aid,medium
q306,What are signs of a concussion?,"Headache, dizziness, confusion, nausea, and possible loss of consciousness.",symptom,high
q307,How to treat a sprain?,"Use the RICE method: Rest, Ice, Compression, and Elevation.",first_aid,easy
q308,What to do if someone faints?,Lay the person flat on their back and elevate their legs slightly.,first_aid,medium
q309,What to do for a seizure?,"Ease the person to the floor, turn them onto one side, and clear the area of hard objects. Do not restrain them.",first_aid,high
q310,What are the signs of anaphylaxis?,"Difficulty breathing, swelling of the face or throat, hives, and a rapid pulse.",symptom,easy
q311,How to use an EpiPen?,"Pull off the blue safety cap, press the orange end firmly against the outer thigh, and hold for 3 seconds.",first_aid,medium
q312,How to treat heat exhaustion?,"Move to a cool place, loosen clothing, sip cool water, and apply cool, wet cloths to the skin.",first_aid,high
q313,What are the signs of heatstroke?,"High body temperature (103°F+), hot red skin, rapid pulse, and confusion. This is a medical emergency.",symptom,easy
q314,What are the signs of hypothermia?,"Shivering, slurred speech, slow breathing, and confusion.",symptom,medium
q315,How to treat frostbite?,"Move to a warm place, gradually rewarm the affected area with warm (not hot) water. Do not rub.",first_aid,high
q316,What to do for a chemical burn?,"Immediately flush the area with large amounts of cool, running water for at least 20 minutes.",first_aid,easy
q317,What to do for an eye injury?,"For a speck, flush with water. For a major injury or cut, cover lightly and seek medical help immediately.",first_aid,medium
q318,What is CPR?,"Cardiopulmonary Resuscitation, an emergency procedure that combines chest compressions with artificial ventilation.",first_aid,high
q319,How to perform chest compressions?,Push hard and fast in the center of the chest at a rate of 100-120 compressions per minute.,first_aid,easy
q320,What is an AED?,"Automated External Defibrillator, a portable device that checks the heart rhythm and can send an electric shock to restore a normal rhythm.",first_aid,medium
q321,What is a 'side effect'?,"A secondary, typically undesirable effect of a drug or medical treatment.",side_effects,high
q322,What is a common side effect of antidepressants?,"Nausea, weight gain, and drowsiness are common, especially in the first few weeks.",side_effects,easy
q323,What is a common side effect of beta-blockers?,"Fatigue, dizziness, and cold hands or feet.",side_effects,medium
q324,What is a common side effect of statins?,"Muscle pain, headache, and digestive problems.",side_effects,high
q325,What is a common side effect of chemotherapy?,"Nausea, hair loss, fatigue, and increased risk of infection.",side_effects,easy
q326,What is a common side effect of radiation therapy?,Fatigue and skin irritation (like a sunburn) in the treated area.,side_effects,medium
q327,What is a common side effect of antihistamines?,"Drowsiness, dry mouth, and dizziness.",side_effects,high
q328,What is a common side effect of decongestants?,"Jitteriness, increased blood pressure, and difficulty sleeping.",side_effects,easy
q329,What is a common side effect of diuretics ('water pills')?,Increased urination and loss of potassium.,side_effects,medium
q330,What is a common side effect of opioids (narcotic pain relievers)?,"Drowsiness, constipation, and risk of addiction.",side_effects,high
q331,What is a common side effect of NSAIDs (like ibuprofen)?,"Stomach irritation, heartburn, and risk of ulcers with long-term use.",side_effects,easy
q332,What is a common side effect of sleeping pills?,"Drowsiness the next day, dizziness, and potential for dependence.",side_effects,medium
q333,What is an allergic reaction to a drug?,"An immune system response, which can range from a mild rash to life-threatening anaphylaxis.",side_effects,high
q334,What is Stevens-Johnson syndrome?,"A rare, serious disorder of the skin and mucous membranes, often a reaction to a medication.",side_effects,easy
q335,What is 'serotonin syndrome'?,A serious drug reaction caused by medications that build up high levels of serotonin. Symptoms include agitation and fever.,side_effects,medium
q336,Why do some drugs cause drowsiness?,"They depress the central nervous system or block histamine, which regulates wakefulness.",side_effects,high
q337,Why do some drugs cause 'dry mouth'?,They reduce saliva production by affecting the autonomic nervous system.,side_effects,easy
q338,What is a 'drug interaction'?,"A reaction between two (or more) drugs, or between a drug and a food or supplement.",drug_interaction,medium
q339,Can supplements have side effects?,"Yes, supplements (like vitamins or herbs) can cause side effects and interact with medications.",side_effects,high
q340,What is a 'contraindication'?,"A specific situation in which a drug, procedure, or surgery should not be used because it may be harmful to the person.",side_effects,easy
q341,Why avoid alcohol with medication?,"Alcohol can increase drowsiness, increase the risk of overdose, and damage the liver when combined with many drugs.",drug_interaction,medium
q342,Can I take painkillers with alcohol?,Combining alcohol with NSAIDs increases stomach bleeding risk. Combining with acetaminophen (Tylenol) can cause severe liver damage.,drug_interaction,high
q343,What is the 'grapefruit effect'?,"Grapefruit and its juice can interfere with enzymes that break down certain drugs (like statins), leading to dangerously high levels.",drug_interaction,easy
q344,Why avoid dairy with some antibiotics?,Calcium in dairy can bind to certain antibiotics (like tetracyclines) and prevent their absorption.,drug_interaction,medium
q345,Can I mix ibuprofen and naproxen?,"No, both are NSAIDs. Taking them together increases the risk of side effects like stomach bleeding.",drug_interaction,high
q346,Can I take ibuprofen and acetaminophen (Tylenol) together?,"Yes, it is generally safe as they work differently. Follow dosing instructions carefully.",drug_interaction,easy
q347,What happens if I take St. John's Wort with antidepressants?,It can cause a serious condition called serotonin syndrome due to excessive serotonin.,drug_interaction,medium
q348,Can I take cold medicine with blood pressure medication?,Decongestants (like pseudoephedrine) can raise blood pressure and interfere with BP medications.,drug_interaction,high
q349,What happens if I take warfarin with aspirin?,Both are blood thinners; taking them together significantly increases the risk of serious bleeding.,drug_interaction,easy
q350,Can I take antacids with other medications?,Antacids can change stomach acidity and interfere with the absorption of many other drugs. Separate doses by 2 hours.,drug_interaction,medium
q351,Can birth control pills interact with antibiotics?,Some antibiotics (like rifampin) can make birth control pills less effective. Use a backup method.,drug_interaction,high
q352,What interacts with beta-blockers?,"Decongestants, alcohol, and even some asthma medications can interact with beta-blockers.",drug_interaction,easy
q353,What happens if I mix different types of antidepressants?,"Mixing types (e.g., SSRIs and MAOIs) is extremely dangerous and can cause serotonin syndrome or a hypertensive crisis.",drug_interaction,medium
q354,Can I take allergy medicine (antihistamines) with sleeping pills?,"No, both cause drowsiness, and the combined sedative effect can be dangerous.",drug_interaction,high
q355,What interacts with statins (cholesterol drugs)?,"Grapefruit juice, some antibiotics, and antifungal medications can increase the risk of statin side effects.",drug_interaction,easy
q356,Can I take iron supplements with milk?,"No, calcium in milk can interfere with the absorption of iron supplements.",drug_interaction,medium
q357,What interacts with thyroid medication (levothyroxine)?,"Calcium and iron supplements, as well as high-fiber foods, can interfere with its absorption. Take it on an empty stomach.",drug_interaction,high
q358,Why shouldn't I take Viagra (sildenafil) with nitrates?,"This combination can cause a sudden and severe drop in blood pressure, which can be fatal.",drug_interaction,easy
q359,Do herbal supplements interact with drugs?,"Yes, supplements like Ginkgo Biloba and Ginseng can interact with blood thinners and other medications.",drug_interaction,medium
q360,What is a 'drug-food interaction'?,"When a food or beverage (like grapefruit or alcohol) affects a drug's absorption, metabolism, or effectiveness.",drug_interaction,high
q361,What is 'public health'?,The science of protecting and improving the health of people and their communities.,public_health,easy
q362,What is an 'epidemic'?,A disease outbreak that spreads quickly and affects many individuals in a community at the same time.,public_health,medium
q363,What is a 'pandemic'?,"An epidemic that has spread over several countries or continents, usually affecting a large number of people.",public_health,high
q364,What is a 'communicable disease'?,An infectious disease that can be transmitted from one person or animal to another.,public_health,easy
q365,What is a 'non-communicable disease'?,"A disease that is not transmissible directly, such as heart disease, cancer, or diabetes.",public_health,medium
q366,What is 'herd immunity'?,A form of indirect protection from infectious disease that occurs when a large percentage of a population has become immune.,public_health,high
q367,What is 'quarantine'?,The separation and restriction of movement of people who were potentially exposed to a contagious disease.,public_health,easy
q368,What is 'isolation'?,The separation of sick people with a contagious disease from people who are not sick.,public_health,medium
q369,What is a 'vector-borne' disease?,An illness caused by pathogens (like parasites or bacteria) transmitted by organisms like mosquitoes or ticks.,public_health,high
q370,What is 'sanitation'?,Public health conditions related to clean drinking water and adequate treatment and disposal of human waste.,public_health,easy
q371,What is 'morbidity'?,The rate of disease in a population.,public_health,medium
q372,What is 'mortality'?,The rate of death in a population.,public_health,high
q373,What is the CDC?,"The Centers for Disease Control and Prevention, the leading national public health institute of the United States.",public_health,easy
q374,What is the WHO?,"The World Health Organization, a specialized agency of the United Nations responsible for international public health.",public_health,medium
q375,What is an 'active' vaccine?,A vaccine (like MMR) that introduces a weakened or inactivated germ to stimulate an immune response.,vaccination,high
q376,What is an 'mRNA vaccine'?,A vaccine (like some COVID-19 shots) that teaches cells how to make a protein that triggers an immune response.,vaccination,easy
q377,What is the MMR vaccine?,"A vaccine that protects against Measles, Mumps, and Rubella.",vaccination,medium
q378,What is the DTaP vaccine?,"A vaccine that protects children against Diphtheria, Tetanus, and Pertussis (whooping cough).",vaccination,high
q379,What is the HPV vaccine?,"A vaccine that protects against human papillomavirus (HPV), which can cause cervical and other cancers.",vaccination,easy
q380,What is a 'booster shot'?,An extra dose of a vaccine given after the initial (primary) dose to 'boost' the immune system's memory.,vaccination,medium
q381,What is pediatrics?,"The branch of medicine dealing with the health and medical care of infants, children, and adolescents.",pediatrics,high
q382,What is SIDS?,"Sudden Infant Death Syndrome, the unexplained death, usually during sleep, of a seemingly healthy baby less than a year old.",pediatrics,easy
q383,What is 'tummy time'?,"Placing a baby on their stomach while awake and supervised, which helps build neck and shoulder muscles.",pediatrics,medium
q384,What is croup?,A common childhood illness causing a 'barking' cough due to inflammation of the upper airways.,pediatrics,high
q385,What is RSV (Respiratory Syncytial Virus)?,"A common respiratory virus that usually causes mild, cold-like symptoms but can be serious for infants.",pediatrics,easy
q386,What is 'failure to thrive'?,A term used when a child's weight or rate of weight gain is significantly below that of other children of similar age.,pediatrics,medium
q387,What is ADHD?,"Attention-Deficit/Hyperactivity Disorder, a chronic condition including attention difficulty, hyperactivity, and impulsiveness.",pediatrics,high
q388,What is autism spectrum disorder (ASD)?,"A developmental disorder that affects communication and behavior, characterized by a range of symptoms.",pediatrics,easy
q389,What are 'growing pains'?,"Cramping, achy muscle pains in the legs that are common in children aged 3-12.",pediatrics,medium
q390,What is a febrile seizure?,A convulsion in a child caused by a spike in body temperature (fever).,pediatrics,high
q391,What is geriatrics?,The branch of medicine specializing in the health and care of elderly people.,geriatrics,easy
q392,What is 'polypharmacy'?,"The simultaneous use of multiple drugs to treat a single ailment or condition, common in the elderly.",geriatrics,medium
q393,What is hospice care?,A type of healthcare that focuses on palliating a terminally ill patient's pain and symptoms (end-of-life care).,geriatrics,high
q394,What is palliative care?,"Specialized medical care for people living with a serious illness, focused on providing relief from symptoms and stress.",treatment,easy
q395,Why are falls so dangerous for the elderly?,"They can lead to serious injuries, such as hip fractures, which can cause significant decline in health and independence.",geriatrics,medium
q396,What is sarcopenia?,"The age-related loss of muscle mass, strength, and function.",geriatrics,high
q397,What is presbycusis?,Age-related hearing loss.,geriatrics,easy
q398,What is presbyopia?,"Age-related farsightedness, the gradual loss of your eyes' ability to focus on nearby objects.",geriatrics,medium
q399,What is a bedsore (pressure ulcer)?,"An injury to the skin and underlying tissue resulting from prolonged pressure, common in bedridden patients.",geriatrics,high
q400,What is sundowning?,"A state of confusion occurring in the late afternoon and spanning into the night, often seen in people with dementia.",geriatrics,easy
q401,What is an anxiety disorder?,"A mental health disorder characterized by feelings of worry, anxiety, or fear that are strong enough to interfere with daily life.",mental_health,medium
q402,What is a panic attack?,A sudden episode of intense fear that triggers severe physical reactions when there is no real danger.,mental_health,high
q403,What is OCD?,"Obsessive-Compulsive Disorder, a disorder characterized by unreasonable thoughts and fears (obsessions) that lead to compulsive behaviors.",mental_health,easy
q404,What is PTSD?,"Post-Traumatic Stress Disorder, a disorder in which a person has difficulty recovering after experiencing or witnessing a terrifying event.",mental_health,medium
q405,What is a phobia?,An extreme or irrational fear of or aversion to something.,mental_health,high
q406,What is an eating disorder?,"A range of psychological conditions that cause unhealthy eating habits to develop (e.g., anorexia, bulimia).",mental_health,easy
q407,What is anorexia nervosa?,"An eating disorder characterized by an abnormally low body weight, intense fear of gaining weight, and a distorted perception of weight.",mental_health,medium
q408,What is bulimia nervosa?,"An eating disorder involving binging on food followed by methods to avoid weight gain, such as purging (vomiting).",mental_health,high
q409,What is 'burnout'?,"A state of physical or emotional exhaustion, often related to work stress.",mental_health,easy
q410,What is a psychiatrist?,"A medical doctor (M.D.) who specializes in mental health, and can diagnose, treat, and prescribe medication.",mental_health,medium
q411,What is a psychologist?,A professional (Ph.D. or Psy.D.) who specializes in psychology and provides talk therapy (psychotherapy).,mental_health,high
q412,What is 'stigma' in mental health?,The act of viewing someone in a negative way because of their mental health condition.,mental_health,easy
q413,What is 'gaslighting'?,A form of psychological manipulation where a person seeks to make someone doubt their own memory or sanity.,mental_health,medium
q414,What is seasonal affective disorder (SAD)?,"A type of depression that's related to changes in seasons, typically starting in the fall and winter.",mental_health,high
q415,What is postpartum depression?,"Depression suffered by a mother following childbirth, typically arising from the combination of hormonal changes and stress.",mental_health,easy
q416,What is a 'mood stabilizer'?,A medication used to treat mood disorders like bipolar disorder by controlling swings between depression and mania.,treatment,medium
q417,What is an 'antipsychotic'?,"A medication primarily used to manage psychosis, including delusions or hallucinations, often seen in schizophrenia.",treatment,high
q418,What is 'exposure therapy'?,A psychological treatment where a therapist helps a patient confront their fears in a safe environment.,mental_health,easy
q419,What is 'self-care'?,"The practice of taking an active role in protecting one's own well-being and happiness, particularly during periods of stress.",preventive_care,medium
q420,What is the DSM-5?,"The Diagnostic and Statistical Manual of Mental Disorders, 5th Edition; the standard classification manual used by mental health professionals.",diagnosis,high
q421,What is dermatology?,The branch of medicine concerned with the diagnosis and treatment of skin disorders.,dermatology,easy
q422,What is acne?,A skin condition that occurs when hair follicles become plugged with oil and dead skin cells.,dermatology,medium
q423,What is rosacea?,A common skin condition that causes blushing or flushing and visible blood vessels in your face.,dermatology,high
q424,What is a mole (nevus)?,"A common type of skin growth, often appearing as small, dark brown spots.",dermatology,easy
q425,What is the 'ABCDE' of melanoma?,"Asymmetry, Border, Color, Diameter, Evolving — signs to look for in moles.",dermatology,medium
q426,What is Botox?,"A drug made from a toxin produced by Clostridium botulinum, used medically to treat muscle conditions and cosmetically to remove wrinkles.",treatment,high
q427,What is a 'skin patch test'?,A method used to determine if a specific substance causes an allergic inflammation of the skin.,diagnosis,easy
q428,What is alopecia?,The partial or complete absence of hair from areas of the body where it normally grows; baldness.,dermatology,medium
q429,What are hives (urticaria)?,"Red, itchy welts that result from a skin reaction, often to an allergen.",dermatology,high
q430,What is a wart?,"A small, fleshy bump on the skin caused by human papillomavirus (HPV).",dermatology,easy
q431,What is cardiology?,The branch of medicine that deals with diseases and abnormalities of the heart.,cardiology,medium
q432,What is an arrhythmia?,"An improper beating of the heart, whether irregular, too fast (tachycardia), or too slow (bradycardia).",cardiology,high
q433,What is atrial fibrillation (A-Fib)?,An irregular and often rapid heart rate that can increase your risk of strokes and heart failure.,cardiology,easy
q434,What is a 'heart murmur'?,"An unusual 'whooshing' sound heard between heartbeats, sometimes indicating a heart valve problem.",cardiology,medium
q435,What is coronary artery disease (CAD)?,"The narrowing or blockage of the coronary arteries, usually caused by atherosclerosis (plaque buildup).",cardiology,high
q436,What is an echocardiogram?,An ultrasound of the heart used to check its structure and how well it's pumping blood.,diagnosis,easy
q437,What is a cardiac catheterization?,"A procedure where a thin, flexible tube (catheter) is guided through a blood vessel to the heart to diagnose or treat heart conditions.",medical_procedure,medium
q438,What is congenital heart defect?,An abnormality in the heart's structure that is present at birth.,cardiology,high
q439,What is 'sudden cardiac arrest'?,"The abrupt loss of heart function, breathing, and consciousness, often from an electrical disturbance.",cardiology,easy
q440,What is cholesterol?,A waxy substance found in your blood; high levels can increase your risk of heart disease.,anatomy,medium
q441,What is neurology?,The branch of medicine concerned with the study and treatment of disorders of the nervous system.,neurology,high
q442,What is a 'pinched nerve'?,"A condition where too much pressure is applied to a nerve by surrounding tissues, causing pain, tingling, or numbness.",neurology,easy
q443,What is sciatica?,"Pain radiating along the path of the sciatic nerve, which branches from your lower back through your hips and down each leg.",neurology,medium
q444,What is a 'slipped disc' (herniated disc)?,"A problem with one of the rubbery cushions (discs) between the vertebrae, which can irritate nearby nerves.",neurology,high
q445,What is carpal tunnel syndrome?,"A condition caused by a compressed nerve in the wrist, leading to numbness, tingling, and weakness in the hand.",neurology,easy
q446,What is Bell's palsy?,A condition that causes sudden weakness or paralysis of the muscles on one side of the face.,neurology,medium
q447,What is a migraine?,"A type of headache that can cause severe throbbing pain, usually on one side of the head, often with nausea.",symptom,high
q448,What is ALS (Lou Gehrig's disease)?,"Amyotrophic Lateral Sclerosis, a progressive nervous system disease that destroys nerve cells, causing loss of muscle control.",neurology,easy
q449,What is cerebral palsy?,"A group of disorders affecting a person's ability to move and maintain balance and posture, caused by abnormal brain development.",neurology,medium
q450,What is a TIA (transient ischemic attack)?,"A 'mini-stroke' caused by a temporary disruption in blood supply to the brain, serving as a warning for a future stroke.",neurology,high
q451,What is genetics?,"The study of genes, genetic variation, and heredity in living organisms.",genetics,easy
q452,What is a 'gene'?,A unit of heredity; a segment of DNA that provides instructions for building a protein.,genetics,medium
q453,What is 'DNA'?,"Deoxyribonucleic acid, the molecule that carries genetic instructions for the development and functioning of all known organisms.",genetics,high
q454,What is a 'chromosome'?,"A structure found inside the nucleus of a cell, made up of proteins and DNA organized into genes.",genetics,easy
q455,What is a 'genetic mutation'?,A permanent alteration in the DNA sequence that makes up a gene.,genetics,medium
q456,What is a 'hereditary' disease?,A disease or disorder that is inherited genetically (passed down from parents).,genetics,high
q457,What is Down syndrome?,A genetic condition caused by an extra full or partial copy of chromosome 21.,genetics,easy
q458,What is cystic fibrosis?,"A hereditary disease affecting the lungs and digestive system, where the body produces thick, sticky mucus.",genetics,medium
q459,What is sickle cell anemia?,An inherited red blood cell disorder in which there aren't enough healthy red blood cells to carry oxygen.,genetics,high
q460,What is genetic counseling?,A process to evaluate and understand a family's risk of an inherited medical condition.,genetics,easy
